# 词典元数据：键<TAB>分类<TAB>语体<TAB>全称<TAB>备注
# 键可为 code 或 code|韩文；分类：英雄/战术/报点/缩写/英文/日常/音译/整句
aide|낮아요	日常	敬语·해요		
aike|에코	英雄			
aiya|아이고	日常			哎呀（感叹）
aiya|어머	日常			
ai|아이	音译			
akali|아칼리	英雄			
akeshang|아크샨	英雄			
ali|아리	英雄			
amumu|아무무	英雄			
ang|앙	音译			
anwoshuodezuo|내 말대로 해	日常	半语		
an|안	音译			
aoen|오른	英雄			
ao|아오	音译			
a|아	音译	半语		
baibai|ㅂㅂ	缩写	缩写		
baibai|ㅂㅇ	缩写	缩写	바이	
bai|바이	音译			
bangbangwo|도와주세요	日常	敬语·해요		
bangbangwo|도와줘	日常	半语		
bangmang|도와줘	日常	半语		
bangwochayan|와드 박아줘	战术	半语		
bangwoyixia|좀 도와주세요	日常	敬语·해요		
bang|방	音译			
ban|반	音译			
baogao|보고서	日常			
baole|배불러	日常			
baole|배불러요	日常	敬语·해요		
baonv|니달리	英雄			
baoqian|죄송해요	日常	敬语·해요		对不起（해요体，日常通用）
baotuan|뭉쳐	日常			
bao|바오	音译			
batadale|턴 터졌어	整句			
ba|바	音译			
ba|팔	音译			
bei|베이	音译			
bengbuzhu|터졌어	日常	半语		
bengle|터졌어	日常	半语		
beng|벵	音译			
ben|번	音译			
bian|비안	音译			
biaoji|핑	日常			信号（Ping，打标记）
biao|비아오	音译			
biejinchang|진입하지 마	战术			
bieji|급하지 마	日常			
biepao|도망치지 마	日常			
biepa|겁내지 마	日常			
bieshang|들어가지 마	战术			
bieshengqi|화내지 마	日常			
biesong|던지지 마	日常			别送／别扔（＝别故意输）
bietouxiang|항복하지 마	日常			
biezhaoji|급하지 마	日常			
biezhaoji|서두르지 마	日常			
biezou|가지 마	日常			
bie|비에	音译			
bingle|아파	日常			
bing|빙	音译			
bin|빈	音译			
bisai|경기	日常			
bishangtuanzhan|한타 피하자	战术	半语		
biye|졸업	日常			
bi|비	音译			
bo|보	音译			
buchang|보상	日常			
budao|CS 먹어	战术	半语		
bufangqi|포기하지 마	日常			
buhaochi|맛없다	日常	半语		
buhaochi|맛없어요	日常	敬语·해요		
buhaokan|별로예요	日常	敬语·해요		
buhaokan|안 예뻐요	日常	敬语·해요		
buhaoyisi|죄송해요	日常	敬语·해요		对不起（해요体，日常通用）
buhao|나빠요	日常	敬语·해요		
bukeqi|천만에요	日常	敬语·해요		
bukeyi|ㄴㄴ	缩写	缩写	노노	
bulong|브라움	英雄			
buqingchu|모르겠어요	日常	敬语·해요		
buqingchu|잘 모르겠어	日常	半语		
bushi|아니	日常			
bushi|아니요	日常	敬语·해요		
bushufu|몸이 안 좋아요	日常	敬语·해요		
bushufu|아파요	日常	敬语·해요		
buxing|안 돼요	日常	敬语·해요		
buxing|안돼	日常	半语		
buyao|싫어요	日常	敬语·해요		
buyao|안 돼	日常	半语		
buyao|하지 마세요	日常	敬语·해요		
buyiyang|달라요	日常	敬语·해요		
buyongxie|별말씀을요	日常	敬语·해요		
buyongxie|아니에요	日常	敬语·해요		
buzhidaoa|ㅁㄹ	缩写	缩写	몰라	
buzhidao|몰라요	日常	敬语·해요		
buzhidao|잘 모르겠어요	日常	敬语·해요		
bu|부	音译			
caidan|메뉴 주세요	日常	敬语·해요		
caidan|메뉴판 주세요	日常	敬语·해요		
caiji|못한다	日常	半语		
cai|차이	音译			
cang|창	音译			
can|찬	音译			
cao|차오	音译			
ca|차	音译			
ceng|층	音译			
cen|츈	音译			
ceyijingong|측면 공격	战术			
ce|처	音译			
chabuduo|비슷해	日常	半语		
chaishuijing|억제기 부수자	战术	半语		
chaita|타 부수자	日常	半语		
chai|차이	音译			
changde|길어요	日常	敬语·해요		
chang|창	音译			
chan|찬	音译			
chaojikeai|개귀엽다	日常	半语		
chaojikeai|완전 귀여워요	日常	敬语·해요		
chaojikeai|진짜 귀여워요	日常	敬语·해요		
chaoji|ㅈㄴ	缩写	缩写	존나	
chao|차오	音译			
chayan|와드	日常			
chayidianjiusile|하마터면 죽을 뻔했어	日常	半语		
chayidianjiuyingle|하마터면 이길 뻔했어	日常	半语		
chayidian|하마터면	日常			差一点（就…）
cha|차	音译			
cheba|빼자	战术	半语		
chechulai|빠져	战术			
chengzhang|성장	日常			
cheng|청	音译			
chen|천	音译			
chetuiba|퇴각하자	战术	半语		
chetui|ㅌㅌ	缩写	缩写	퇴각	
chetui|물러나	日常			
che|처	音译			
chibaole|잘 먹었습니다	日常	敬语·正式		
chibaole|잘 먹었어요	日常	敬语·해요		
chidaole|늦었어요	日常	敬语·해요		
chifanlema|밥 먹었어요?	日常	敬语·해요		
chifanqu|밥 먹으러 가요	日常	敬语·해요		
chifanqu|밥 먹으러 가자	日常	半语		
chifan|밥 먹어요	日常	敬语·해요		
chifan|밥 먹을래요?	日常	敬语·해요		
chifan|밥 먹자	日常	半语		
chijing|깜짝 놀랐어요	日常	敬语·해요		
chijing|놀랐어요	日常	敬语·해요		
chixian|라인 먹기	日常			
chiyao|약 먹었어요	日常	敬语·해요		
chi|치	音译			
chonga|돌격	日常			
chongkai|리메이크	日常			
chong|가자	日常	半语		
chong|충	日常			
chou|추	音译			
chuai|추아이	音译			
chuang|추앙	音译			
chuansong|텔레포트	日常			
chuan|추안	音译			
chua|추아	音译	半语		
chucijianmian|처음 뵙겠습니다	日常	敬语·正式		
chuishi|스레쉬	英雄			
chui|추이	音译			
chumen|나갈게요	日常	敬语·해요		
chumen|외출했어요	日常	敬语·해요		
chun|춘	音译			
chuo|춰	音译			
chuzuche|택시	日常			
chu|추	音译			
ci|쯔	音译			
cong|콩	音译			
cou|추	音译			
cuan|추안	音译			
cui|최	音译			
cun|촌	音译			
cuode|틀려요	日常	敬语·해요		
cuole|틀렸어요	日常	敬语·해요		
cuo|춰	音译			
cu|추	音译			
daan|답변	日常			
dabaole|턴 터졌어	日常	半语		
dabao|포장할게요	日常	敬语·해요		
dabao|포장해 주세요	日常	敬语·해요		
dabuguole|못 이겨	日常			
dachongzi|초가스	英雄			
dacuole|잘못 눌렀어	日常	半语		
dadalong|바론 먹자	日常	半语		
dade|커요	日常	敬语·해요		
dadianhua|전화할게요	日常	敬语·해요		
dadianhua|전화해	日常	半语		
daifei|캐리해 줘	日常	半语		
daihuierjian|이따 봐요	日常	敬语·해요		
daiji|기다려	日常			
daiji|대기	日常			
dai|다이	音译			
dajiaxinkule|여러분 수고하셨습니다	整句			
dajia|모두	日常			
dalong|바론	日常			大龙／纳什男爵
